    //NAME(,AtomicNumber,element,symbol,mass,neutrons,protons,electrons,period,group,phase,radioactive,natural,metal,nonmetal,metalloid,metalGroup,radius,electronegativity,firstIonization,density,meltingPoint,boilingPoint,isotopes,discoverer,Year.of(Year),specificHeat,shells,valence,),,,,,,,,,,,,,,,,,,,,,,
    CE(,58,Cerium,Ce,140.116F,82,58,58,6,,solid,false,true,true,false,false,Lanthanide,2.7F,1.12F,5.5387F,6.77F,1071.15F,3716,19,Berzelius,Year.of(1803),0.192,6,-1,),,,,,,,,,,,,,,,,,,,,,,
    PR(,59,Praseodymium,Pr,140.908F,82,59,59,6,,solid,false,true,true,false,false,Lanthanide,2.7F,1.13F,5.473F,6.77F,1204.15F,3793,15,von Welsbach,Year.of(1885),0.193,6,-1,),,,,,,,,,,,,,,,,,,,,,,
    ND(,60,Neodymium,Nd,144.242F,84,60,60,6,,solid,false,true,true,false,false,Lanthanide,2.6F,1.14F,5.525F,7.01F,1289.15F,3347,16,von Welsbach,Year.of(1885),0.19,6,-1,),,,,,,,,,,,,,,,,,,,,,,
    PM(,61,Promethium,Pm,145F,84,61,61,6,,artificial,true,false,true,false,false,Lanthanide,2.6F,1.13F,5.582F,7.26F,1204.15F,3273,14,Marinsky et al.,Year.of(1945),-1,6,-1,),,,,,,,,,,,,,,,,,,,,,,
    SM(,62,Samarium,Sm,150.36F,88,62,62,6,,solid,false,true,true,false,false,Lanthanide,2.6F,1.17F,5.6437F,7.52F,1345.15F,2067,17,Boisbaudran,Year.of(1879),0.197,6,-1,),,,,,,,,,,,,,,,,,,,,,,
    EU(,63,Europium,Eu,151.964F,89,63,63,6,,solid,false,true,true,false,false,Lanthanide,2.6F,1.2F,5.6704F,5.24F,1095.15F,1802,21,Demarcay,Year.of(1901),0.182,6,-1,),,,,,,,,,,,,,,,,,,,,,,
    GD(,64,Gadolinium,Gd,157.25F,93,64,64,6,,solid,false,true,true,false,false,Lanthanide,2.5F,1.2F,6.1501F,7.9F,1585.15F,3546,17,de Marignac,Year.of(1880),0.236,6,-1,),,,,,,,,,,,,,,,,,,,,,,
    TB(,65,Terbium,Tb,158.925F,94,65,65,6,,solid,false,true,true,false,false,Lanthanide,2.5F,1.2F,5.8638F,8.23F,1630.15F,3503,24,Mosander,Year.of(1843),0.182,6,-1,),,,,,,,,,,,,,,,,,,,,,,
    DY(,66,Dysprosium,Dy,162.5F,97,66,66,6,,solid,false,true,true,false,false,Lanthanide,2.5F,1.22F,5.9389F,8.55F,1680.15F,2840,21,de Boisbaudran,Year.of(1886),0.17,6,-1,),,,,,,,,,,,,,,,,,,,,,,
    HO(,67,Holmium,Ho,164.93F,98,67,67,6,,solid,false,true,true,false,false,Lanthanide,2.5F,1.23F,6.0215F,8.8F,1743.15F,2993,29,Delafontaine and Soret,Year.of(1878),0.165,6,-1,),,,,,,,,,,,,,,,,,,,,,,
    ER(,68,Erbium,Er,167.259F,99,68,68,6,,solid,false,true,true,false,false,Lanthanide,2.5F,1.24F,6.1077F,9.07F,1795.15F,3503,16,Mosander,Year.of(1843),0.168,6,-1,),,,,,,,,,,,,,,,,,,,,,,
    TM(,69,Thulium,Tm,168.934F,100,69,69,6,,solid,false,true,true,false,false,Lanthanide,2.4F,1.25F,6.1843F,9.32F,1818.15F,2223,18,Cleve,Year.of(1879),0.16,6,-1,),,,,,,,,,,,,,,,,,,,,,,
    YB(,70,Ytterbium,Yb,173.054F,103,70,70,6,,solid,false,true,true,false,false,Lanthanide,2.4F,1.1F,6.2542F,6.97F,1097.15F,1469,16,Marignac,Year.of(1878),0.155,6,-1,),,,,,,,,,,,,,,,,,,,,,,
    LU(,71,Lutetium,Lu,174.967F,104,71,71,6,,solid,false,true,true,false,false,Lanthanide,2.3F,1.27F,5.4259F,9.84F,1936.15F,3675,22,Urbain/ von Welsbach,Year.of(1907),0.154,6,-1,),,,,,,,,,,,,,,,,,,,,,,
    HF(,72,Hafnium,Hf,178.49F,106,72,72,6,4,solid,false,true,true,false,false,Transition Metal,2.2F,1.3F,6.8251F,13.3F,2500.15F,4876,17,Coster and von Hevesy,Year.of(1923),0.144,6,-1,),,,,,,,,,,,,,,,,,,,,,,
    TA(,73,Tantalum,Ta,180.948F,108,73,73,6,5,solid,false,true,true,false,false,Transition Metal,2.1F,1.5F,7.5496F,16.7F,3269.15F,5731,19,Ekeberg,Year.of(1801),0.14,6,-1,),,,,,,,,,,,,,,,,,,,,,,
    W(,74,Wolfram,W,183.84F,110,74,74,6,6,solid,false,true,true,false,false,Transition Metal,2F,2.36F,7.864F,19.3F,3680.15F,5828,22,J. and F. d'Elhuyar,Year.of(1783),0.132,6,-1,),,,,,,,,,,,,,,,,,,,,,,
    RE(,75,Rhenium,Re,186.207F,111,75,75,6,7,solid,false,true,true,false,false,Transition Metal,2F,1.9F,7.8335F,21F,3453.15F,5869,21,"""Noddack, Berg, and Tacke"",Year.of(1925),0.137,6,-1,)
    OS(,76,""Osmium",Os,190.23F,114,76,76,6,8,solid,false,true,true,false,false,Transition Metal,1.9F,2.2F,8.4382F,22.6F,3300.15F,5285,19,Tennant,Year.of(1803),0.13,6,-1,)
    IR(,77,Iridium,Ir,192.217F,115,77,77,6,9,solid,false,true,true,false,false,Transition Metal,1.9F,2.2F,8.967F,22.6F,2716.15F,4701,25,Tennant,Year.of(1804),0.131,6,-1,),,,,,,,,,,,,,,,,,,,,,,
    PT(,78,Platinum,Pt,195.084F,117,78,78,6,10,solid,false,true,true,false,false,Transition Metal,1.8F,2.28F,8.9587F,21.5F,2045.15F,4098,32,Ulloa/Wood,Year.of(1735),0.133,6,-1,),,,,,,,,,,,,,,,,,,,,,,
    AU(,79,Gold,Au,196.967F,118,79,79,6,11,solid,false,true,true,false,false,Transition Metal,1.8F,2.54F,9.2255F,19.3F,1337.73F,3129,21,Prehistoric,Year.of(-1),0.129,6,-1,),,,,,,,,,,,,,,,,,,,,,,
    HG(,80,Mercury,Hg,200.59F,121,80,80,6,12,liquid,false,true,true,false,false,Transition Metal,1.8F,2F,10.4375F,13.5F,234.43F,630,26,Prehistoric,Year.of(-1),0.14,6,-1,),,,,,,,,,,,,,,,,,,,,,,
    TL(,81,Thallium,Tl,204.383F,123,81,81,6,13,solid,false,true,true,false,false,Metal,2.1F,2.04F,6.1082F,11.9F,577.15F,1746,28,Crookes,Year.of(1861),0.129,6,3,),,,,,,,,,,,,,,,,,,,,,,
    PB(,82,Lead,Pb,207.2F,125,82,82,6,14,solid,false,true,true,false,false,Metal,1.8F,2.33F,7.4167F,11.3F,600.75F,2022,29,Prehistoric,Year.of(-1),0.129,6,4,),,,,,,,,,,,,,,,,,,,,,,
    BI(,83,Bismuth,Bi,208.98F,126,83,83,6,15,solid,false,true,true,false,false,Metal,1.6F,2.02F,7.2856F,9.81F,544.67F,1837,19,Geoffroy the Younger,Year.of(1753),0.122,6,5,),,,,,,,,,,,,,,,,,,,,,,
    PO(,84,Polonium,Po,210F,126,84,84,6,16,solid,true,true,false,false,true,Metalloid,1.5F,2F,8.417F,9.32F,527.15F,1235,34,Curie,Year.of(1898),-1,6,6,),,,,,,,,,,,,,,,,,,,,,,
    AT(,85,Astatine,At,210F,125,85,85,6,17,solid,true,true,false,true,false,Noble Gas,1.4F,2.2F,9.3F,7F,575.15F,610,21,Corson et al.,Year.of(1940),-1,6,7,),,,,,,,,,,,,,,,,,,,,,,
    RN(,86,Radon,Rn,222F,136,86,86,6,18,gas,true,true,true,false,false,Alkali Metal,1.3F,F,10.7485F,0.00973F,202.15F,211.3,20,Dorn,Year.of(1900),0.094,6,8,),,,,,,,,,,,,,,,,,,,,,,
    FR(,87,Francium,Fr,223F,136,87,87,7,1,solid,true,true,true,false,false,Alkaline Earth Metal,-1F,0.7F,4.0727F,1.87F,300.15F,950,21,Perey,Year.of(1939),-1,7,1,),,,,,,,,,,,,,,,,,,,,,,
    RA(,88,Radium,Ra,226F,138,88,88,7,2,solid,true,true,true,false,false,Actinide,-1F,0.9F,5.2784F,5.5F,973.15F,2010,15,Pierre and Marie Curie,Year.of(1898),-1,7,2,),,,,,,,,,,,,,,,,,,,,,,
    AC(,89,Actinium,Ac,227F,138,89,89,7,3,solid,true,true,true,false,false,Actinide,-1F,1.1F,5.17F,10.1F,1323.15F,3471,11,Debierne/Giesel,Year.of(1899),0.12,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    TH(,90,Thorium,Th,232.038F,142,90,90,7,,solid,true,true,true,false,false,Actinide,-1F,1.3F,6.3067F,11.7F,2028.15F,5061,12,Berzelius,Year.of(1828),0.113,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    PA(,91,Protactinium,Pa,231.036F,140,91,91,7,,solid,true,true,true,false,false,Actinide,-1F,1.5F,5.89F,15.4F,1873.15F,4300,14,Hahn and Meitner,Year.of(1917),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    U(,92,Uranium,U,238.029F,146,92,92,7,,solid,true,true,true,false,false,Actinide,-1F,1.38F,6.1941F,19F,1405.15F,4404,15,Peligot,Year.of(1841),0.116,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    NP(,93,Neptunium,Np,237F,144,93,93,7,,artificial,true,false,true,false,false,Actinide,-1F,1.36F,6.2657F,20.5F,913.15F,4273,153,McMillan and Abelson,Year.of(1940),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    PU(,94,Plutonium,Pu,244F,150,94,94,7,,artificial,true,false,true,false,false,Actinide,-1F,1.28F,6.0262F,19.8F,913.15F,3501,163,Seaborg et al.,Year.of(1940),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    AM(,95,Americium,Am,243F,148,95,95,7,,artificial,true,false,true,false,false,Actinide,-1F,1.3F,5.9738F,13.7F,1267.15F,2880,133,Seaborg et al.,Year.of(1944),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    CM(,96,Curium,Cm,247F,151,96,96,7,,artificial,true,false,true,false,false,Actinide,-1F,1.3F,5.9915F,13.5F,1340.15F,3383,133,Seaborg et al.,Year.of(1944),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    BK(,97,Berkelium,Bk,247F,150,97,97,7,,artificial,true,false,true,false,false,Actinide,-1F,1.3F,6.1979F,14.8F,1259.15F,983,83,Seaborg et al.,Year.of(1949),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    CF(,98,Californium,Cf,251F,153,98,98,7,,artificial,true,false,true,false,false,Actinide,-1F,1.3F,6.2817F,15.1F,1925.15F,1173,123,Seaborg et al.,Year.of(1950),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    ES(,99,Einsteinium,Es,252F,153,99,99,7,,artificial,true,false,true,false,false,Actinide,-1F,1.3F,6.42F,13.5F,1133.15F,-1,123,Ghiorso et al.,Year.of(1952),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    FM(,100,Fermium,Fm,257F,157,100,100,7,,artificial,true,false,true,false,false,Actinide,-1F,1.3F,6.5F,-1F,-1F,-1,103,Ghiorso et al.,Year.of(1953),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    MD(,101,Mendelevium,Md,258F,157,101,101,7,,artificial,true,false,true,false,false,Actinide,-1F,1.3F,6.58F,-1F,-1F,-1,33,Ghiorso et al.,Year.of(1955),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    NO(,102,Nobelium,No,259F,157,102,102,7,,artificial,true,false,true,false,false,Actinide,-1F,1.3F,6.65F,-1F,-1F,-1,73,Ghiorso et al.,Year.of(1958),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    LR(,103,Lawrencium,Lr,262F,159,103,103,7,,artificial,true,false,true,false,false,Actinide,-1F,-1F,-1F,-1F,-1F,-1,203,Ghiorso et al.,Year.of(1961),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    RF(,104,Rutherfordium,Rf,261F,157,104,104,7,4,artificial,true,false,true,false,false,Transactinide,-1F,-1F,-1F,18.1F,-1F,-1,,Ghiorso et al.,Year.of(1969),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    DB(,105,Dubnium,Db,262F,157,105,105,7,5,artificial,true,false,true,false,false,Transactinide,-1F,-1F,-1F,39F,-1F,-1,,Ghiorso et al.,Year.of(1970),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    SG(,106,Seaborgium,Sg,266F,160,106,106,7,6,artificial,true,false,true,false,false,Transactinide,-1F,-1F,-1F,35F,-1F,-1,,Ghiorso et al.,Year.of(1974),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    BH(,107,Bohrium,Bh,264F,157,107,107,7,7,artificial,true,false,true,false,false,Transactinide,-1F,-1F,-1F,37F,-1F,-1,,Armbruster and M�nzenberg\*todo*\,Year.of(1981),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    HS(,108,Hassium,Hs,267F,159,108,108,7,8,artificial,true,false,true,false,false,Transactinide,-1F,-1F,-1F,41F,-1F,-1,,Armbruster and M�nzenberg\*todo*\,Year.of(1983),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    MT(,109,Meitnerium,Mt,268F,159,109,109,7,9,artificial,true,false,true,false,false,Transactinide,-1F,-1F,-1F,35F,-1F,-1,,"""GSI, Darmstadt, West Germany"",Year.of(1982),-1,7,-1,)
    DS (,110,""Darmstadtium ",Ds ,271F,161,110,110,7,10,artificial,true,false,true,false,false,Transactinide,-1F,-1F,-1F,-1F,-1F,-1,,null,Year.of(1994),-1,7,-1,)
    RG (,111,Roentgenium ,Rg ,272F,161,111,111,7,11,artificial,true,false,true,false,false,Transactinide,-1F,-1F,-1F,-1F,-1F,-1,,null,Year.of(1994),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    CN (,112,Copernicium ,Cn ,285F,173,112,112,7,12,artificial,true,false,true,false,false,Transactinide,-1F,-1F,-1F,-1F,-1F,-1,,null,Year.of(1996),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    NH(,113,Nihonium,Nh,284F,171,113,113,7,13,artificial,true,false,true,false,false,null,-1F,-1F,-1F,-1F,-1F,-1,,null,Year.of(2004),-1,7,3,),,,,,,,,,,,,,,,,,,,,,,
    FL(,114,Flerovium,Fl,289F,175,114,114,7,14,artificial,true,false,true,false,false,Transactinide,-1F,-1F,-1F,-1F,-1F,-1,,null,Year.of(1999),-1,7,4,),,,,,,,,,,,,,,,,,,,,,,
    MC(,115,Moscovium,Mc,288F,173,115,115,7,15,artificial,true,false,true,false,false,null,-1F,-1F,-1F,-1F,-1F,-1,,null,Year.of(2010),-1,7,5,),,,,,,,,,,,,,,,,,,,,,,
    LV(,116,Livermorium,Lv,292F,176,116,116,7,16,artificial,true,false,true,false,false,Transactinide,-1F,-1F,-1F,-1F,-1F,-1,,null,Year.of(2000),-1,7,6,),,,,,,,,,,,,,,,,,,,,,,
    TS(,117,Tennessine,Ts,295F,178,117,117,7,17,artificial,true,false,false,true,false,null,-1F,-1F,-1F,-1F,-1F,-1,,null,Year.of(2010),-1,7,7,),,,,,,,,,,,,,,,,,,,,,,
    OG(,118,Oganesson,Og,294F,176,118,118,7,18,artificial,true,false,false,true,false,Noble Gas,-1F,-1F,-1F,-1F,-1F,-1,,null,Year.of(2006),-1,7,8),,,,,,,,,,,,,,,,,,,,,,,
